D test LRT 
2 causal 43.95729 
2 causal 43.56006 
2 causal 53.36438 
2 causal 51.35405 
2 causal 38.35015 
2 causal 74.65723 
2 causal 22.41372 
2 causal 28.09665 
2 causal 30.79142 
2 causal 15.85548 
2 causal 26.30108 
2 causal 25.86435 
2 causal 20.03727 
2 causal 30.26078 
2 causal 30.95634 
2 causal 24.72471 
2 causal 36.93509 
2 causal 10.71993 
2 causal 60.68001 
2 causal 16.68603 
2 causal 35.76053 
2 causal 14.13007 
2 causal 27.88089 
2 causal 12.4002 
2 causal 18.91397 
2 causal 33.81994 
2 causal 22.16556 
2 causal 28.80592 
2 causal 55.13002 
2 causal 13.41554 
2 causal 31.14983 
2 causal 11.7677 
2 causal 26.057 
2 causal 34.41576 
2 causal 47.57971 
2 causal 31.14776 
2 causal 14.31348 
2 causal 30.34632 
2 causal 17.03818 
2 causal 39.90589 
2 causal 49.64173 
2 causal 19.80383 
2 causal 32.59459 
2 causal 14.12817 
2 causal 17.19532 
2 causal 23.85451 
2 causal 46.26578 
2 causal 54.83122 
2 causal 31.06698 
2 causal 26.66973 
2 causal 8.654576 
2 causal 52.89612 
2 causal 34.5464 
2 causal 9.562447 
2 causal 44.46062 
2 causal 67.95784 
2 causal 46.44563 
2 causal 63.68389 
2 causal 23.76122 
2 causal 37.43386 
2 causal 28.84745 
2 causal 38.33813 
2 causal 8.840745 
2 causal 19.71184 
2 causal 23.2709 
2 causal 23.12452 
2 causal 14.81151 
2 causal 38.73605 
2 causal 20.88686 
2 causal 16.6217 
2 causal 14.03169 
2 causal 53.92227 
2 causal 17.34426 
2 causal 27.51068 
2 causal 16.86132 
2 causal 40.31143 
2 causal 22.83586 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
